idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
76,ring4,47,4,B01,#A1D9EE,2244,507,#A1D9EE,#A1D9EE,1,1
77,ring6,47,6,B000,#D9F0F7,2201,403,#D9F0F7,#D9F0F7,1,1
78,centre,48,0,BV99,#222838,2386,694,#222838,#222838,1,1
79,ring1,48,1,BV97,#3E485E,2369,640,#3E485E,#3E485E,1,1
80,ring2,48,2,BV95,#63708A,2353,587,#63708A,#63708A,1,1
81,ring4,48,4,BV91,#D2D9E6,2319,480,#D2D9E6,#D2D9E6,1,1
82,centre,49,0,BV39,#36374F,2445,678,#36374F,#36374F,1,1
83,ring1,49,1,BV34,#8F93A8,2433,623,#8F93A8,#8F93A8,1,1
84,ring2,49,2,BV31,#CAD2E3,2420,569,#CAD2E3,#CAD2E3,1,1
85,centre,50,0,BV29,#1B2C45,2504,668,#1B2C45,#1B2C45,1,1
86,ring1,50,1,BV25,#7280A3,2497,612,#7280A3,#7280A3,1,1
87,ring2,50,2,BV23,#9AA5C4,2490,556,#9AA5C4,#9AA5C4,1,1
88,centre,51,0,BV17,#595EB4,2565,662,#595EB4,#595EB4,1,1
89,ring1,51,1,BV13,#6A88C2,2562,606,#6A88C2,#6A88C2,1,1
90,ring2,51,2,BV11,#A4A2C3,2560,550,#A4A2C3,#A4A2C3,1,1
91,centre,52,0,BV08,#6850AA,2625,662,#6850AA,#6850AA,1,1
92,ring1,52,1,BV04,#8774C4,2627,606,#8774C4,#8774C4,1,1
93,ring2,52,2,BV02,#A998DA,2630,550,#A998DA,#A998DA,1,1
94,ring4,52,4,BV00,#DED3F2,2635,438,#DED3F2,#DED3F2,1,1
95,ring6,52,6,BV0000,#F4EFFA,2640,326,#F4EFFA,#F4EFFA,1,1
96,centre,53,0,V99,#261B2A,2685,668,#261B2A,#261B2A,1,1
97,ring1,53,1,V95,#775775,2693,612,#775775,#775775,1,1
98,ring2,53,2,V93,#A68CA2,2700,556,#A68CA2,#A68CA2,1,1
99,centre,54,0,V28,#5B3C67,2745,678,#5B3C67,#5B3C67,1,1
100,ring1,54,1,V25,#7F598B,2757,623,#7F598B,#7F598B,1,1
101,ring2,54,2,V22,#B395BD,2769,569,#B395BD,#B395BD,1,1
102,centre,55,0,V17,#633D73,2803,694,#633D73,#633D73,1,1
