kind,a,ring,col,family,series,code,hex,x,y
seam@red,335.8,0,65,red,R8,R89,#58101A,917,1071
seam@red,335.8,1,65,red,R8,R85,#AA4257,969,1048
centre,337.5,0,65,red,R8,R89,#58101A,925,1090
ring1,337.5,1,65,red,R8,R85,#AA4257,977,1068
ring2,337.5,2,65,red,R8,R83,#C56B82,1029,1047
